magX,magY,magZ
26.975,-18.517,-14.072
27.862,-18.696,-12.528
26.975,-19.23,-11.669
24.135,-19.23,-13.386
22.893,-21.188,-15.273
23.248,-21.9,-13.9
22.183,-20.12,-14.587
22.716,-19.586,-14.415
20.409,-21.9,-15.273
20.409,-21.544,-14.587
21.119,-22.613,-13.9
18.989,-22.257,-15.273
17.747,-24.215,-15.788
18.634,-22.257,-14.587
17.392,-23.147,-16.131
17.747,-24.927,-16.131
16.149,-26.174,-16.989
15.972,-27.776,-17.504
14.02,-28.31,-17.333
17.037,-28.845,-15.102
14.907,-29.201,-15.445
14.552,-28.845,-16.818
14.197,-30.981,-17.161
13.487,-31.337,-16.131
12.778,-33.474,-15.445
14.02,-33.296,-17.676
14.02,-36.501,-16.989
12.955,-35.432,-15.96
11.18,-36.501,-15.273
10.825,-36.857,-16.303
11.535,-37.569,-16.303
9.406,-39.35,-14.93
9.051,-38.637,-16.989
9.761,-42.555,-15.96
9.938,-42.02,-15.445
10.648,-43.445,-15.102
11.535,-43.267,-14.587
9.583,-43.089,-16.818
10.116,-46.116,-15.96
10.648,-44.513,-15.788
11.535,-46.828,-14.93
10.293,-47.362,-13.386
12.6,-47.896,-14.244
11.18,-48.964,-14.587
10.116,-48.608,-13.557
12.068,-48.074,-13.386
13.133,-50.567,-11.669
13.665,-50.745,-13.557
13.31,-51.813,-12.871
12.245,-51.457,-12.871
13.665,-53.594,-11.498
13.133,-55.196,-13.042
14.02,-54.306,-11.155
14.02,-55.374,-9.782
15.262,-56.621,-10.297
16.682,-57.333,-8.924
16.682,-58.401,-7.208
16.504,-60.004,-9.782
16.327,-56.977,-8.237
16.859,-58.579,-7.722
17.747,-60.894,-7.894
17.037,-59.47,-8.58
17.392,-61.606,-7.208
18.279,-58.935,-7.379
17.924,-62.14,-7.379
21.296,-61.962,-4.462
19.699,-63.209,-5.663
22.893,-63.209,-4.977
22.183,-63.565,-4.977
23.958,-63.209,-4.29
24.313,-63.209,-4.633
23.958,-63.565,-3.261
24.668,-65.345,-3.261
28.927,-63.209,-1.888
29.282,-64.277,-2.917
28.217,-64.277,-0.858
30.169,-63.743,-1.03
30.347,-64.633,-2.574
32.299,-62.318,-1.716
34.429,-64.099,-0.343
34.251,-63.209,-0.515
34.251,-63.565,0.515
36.203,-63.387,1.373
37.978,-61.606,1.373
39.043,-60.894,2.746
40.995,-60.716,3.604
42.237,-58.757,5.148
42.947,-58.045,3.775
44.722,-60.182,2.746
44.544,-58.935,3.604
45.432,-58.045,5.835
46.319,-57.867,4.633
47.561,-56.621,6.178
46.141,-57.333,5.492
48.626,-56.265,6.178
48.626,-56.265,5.148
49.513,-54.306,5.663
51.11,-51.635,7.894
52.53,-50.923,8.237
51.82,-50.567,7.208
51.998,-50.389,9.095
53.24,-50.211,8.58
53.772,-47.54,8.066
52.353,-48.252,7.722
55.37,-46.65,7.208
54.305,-47.006,8.237
54.66,-43.801,9.267
55.015,-44.869,7.894
54.127,-44.335,8.409
55.902,-43.623,8.409
53.772,-43.979,7.722
54.305,-40.952,6.521
55.902,-40.774,6.35
55.37,-39.172,8.924
55.547,-37.569,8.752
55.37,-37.391,8.924
55.725,-38.815,9.61
56.257,-35.789,8.752
56.08,-34.186,7.208
55.37,-32.762,8.237
55.902,-32.584,6.35
55.015,-31.693,7.208
54.837,-31.871,6.35
53.95,-30.625,6.178
55.192,-29.023,8.066
54.482,-29.023,6.35
54.127,-29.735,6.006
52.353,-27.598,6.35
51.465,-27.42,4.805
53.063,-26.174,3.261
52.53,-25.996,4.119
52.353,-25.818,3.947
51.288,-24.749,3.604
52.175,-22.079,0.686
49.513,-22.257,1.201
47.384,-20.476,0.172
48.271,-21.01,1.03
48.448,-20.12,-1.201
47.916,-20.654,-0.686
46.851,-19.586,-1.716
44.012,-19.586,-1.716
43.302,-17.449,-4.805
41.527,-18.161,-5.835
39.753,-19.23,-4.119
38.688,-16.737,-6.178
39.043,-17.805,-7.208
38.333,-18.874,-7.551
36.736,-19.408,-9.782
33.896,-17.983,-8.409
34.961,-17.983,-9.782
31.767,-17.983,-11.155
30.347,-19.408,-12.871
30.879,-20.654,-13.386
27.507,-20.832,-13.214
26.265,-20.654,-14.758
29.637,-21.544,-14.587
28.395,-22.079,-15.445
26.975,-23.147,-14.072
25.733,-22.613,-15.616
23.071,-25.64,-16.475
22.006,-28.132,-16.475
15.795,-31.515,-16.989
13.842,-35.967,-15.102
12.245,-36.857,-15.273
13.133,-36.679,-15.445
11.358,-38.103,-15.102
11.358,-35.967,-16.131
11.535,-35.432,-16.646
11.89,-37.569,-14.587
11.18,-38.993,-15.96
12.6,-38.993,-15.96
11.89,-40.418,-15.273
12.778,-41.664,-15.445
11.358,-44.869,-14.758
11.358,-45.225,-14.415
11.713,-46.65,-13.042
10.648,-48.43,-12.356
9.051,-50.033,-12.184
9.583,-50.211,-13.042
9.406,-51.813,-9.439
8.341,-54.306,-9.782
8.873,-55.552,-10.297
11.535,-55.374,-9.095
10.648,-56.621,-8.237
10.825,-57.155,-8.752
12.245,-59.291,-10.468
13.487,-59.47,-5.492
14.375,-59.648,-7.379
13.31,-61.784,-7.036
15.085,-61.428,-7.036
15.795,-61.784,-5.663
17.214,-62.853,-7.036
16.859,-61.784,-6.693
18.634,-62.496,-4.977
18.279,-63.921,-3.947
18.811,-62.674,-4.462
20.764,-62.853,-5.663
20.764,-64.277,-3.947
25.023,-64.633,-3.947
24.313,-63.209,-3.947
26.088,-64.989,-2.917
27.507,-63.565,-2.231
29.459,-64.099,-3.089
28.75,-62.674,-3.432
29.992,-62.853,-1.888
30.702,-63.921,-1.888
32.121,-63.209,-1.888
32.476,-63.565,-0.515
35.138,-61.606,-1.03
37.8,-61.072,-0.515
36.913,-60.182,-0.686
37.978,-61.25,-0.686
38.688,-61.25,-0.686
39.753,-58.401,-1.03
39.93,-59.291,-0.858
39.575,-58.935,-0.858
41.35,-57.511,-1.201
44.189,-57.511,-1.544
42.06,-54.306,1.201
44.722,-54.128,0.343
44.189,-53.594,0.172
46.496,-50.923,0.343
45.786,-50.211,0.686
47.384,-50.033,0.515
48.803,-50.033,1.201
47.561,-50.211,0.343
45.964,-46.472,0.858
47.916,-44.869,1.03
47.561,-46.294,1.03
47.916,-45.581,0.343
50.578,-44.335,1.888
50.756,-43.089,2.746
50.578,-41.842,2.574
51.998,-40.774,4.29
52.885,-38.815,4.462
52.53,-39.172,2.403
52.175,-35.611,2.403
51.465,-33.118,1.716
49.868,-34.364,2.917
51.288,-31.515,3.604
50.578,-31.515,1.544
50.578,-30.091,0.172
50.223,-30.803,1.201
50.223,-27.598,0.515
49.513,-27.598,-0.515
46.319,-26.886,-1.201
45.077,-24.571,-1.716
44.544,-23.325,-1.888
44.722,-22.791,-3.089
43.657,-21.01,-5.148
42.947,-21.722,-4.119
42.237,-20.654,-4.462
38.333,-20.298,-6.178
38.688,-19.23,-6.178
38.155,-19.764,-5.663
37.8,-18.339,-6.006
37.978,-19.942,-4.805
35.316,-18.339,-8.409
36.026,-17.983,-8.409
34.074,-19.586,-9.953
31.767,-17.627,-10.468
31.057,-20.476,-9.439
28.572,-19.764,-11.841
27.33,-19.586,-13.729
25.733,-20.476,-13.557
26.62,-21.366,-13.386
24.845,-20.298,-13.386
24.668,-20.12,-13.557
22.893,-21.9,-13.214
17.392,-25.64,-15.788
17.924,-25.818,-15.96
17.037,-26.352,-15.445
17.214,-26.886,-16.303
14.907,-27.42,-16.475
14.375,-29.379,-16.303
11.713,-32.049,-15.102
14.197,-34.542,-14.415
11.358,-35.254,-15.102
10.471,-38.281,-14.93
10.825,-36.857,-15.96
10.293,-40.952,-14.758
9.228,-42.376,-13.042
9.051,-43.267,-12.184
7.631,-45.759,-13.214
8.696,-48.964,-11.498
9.051,-49.321,-12.528
8.518,-49.855,-10.983
9.051,-52.169,-12.184
10.116,-52.882,-12.184
8.873,-53.772,-9.953
10.825,-53.594,-10.125
11.18,-54.306,-10.125
11.713,-57.333,-8.924
12.955,-57.155,-9.095
13.31,-56.443,-8.409
12.778,-57.689,-8.924
15.085,-57.155,-7.722
14.73,-58.935,-7.036
15.972,-61.25,-7.551
16.327,-62.318,-7.208
17.392,-60.538,-6.864
18.811,-62.318,-5.492
19.344,-62.14,-6.35
19.521,-62.318,-4.805
19.876,-61.962,-5.492
23.248,-63.209,-4.977
23.426,-63.387,-3.775
25.2,-65.523,-2.746
25.91,-63.387,-2.059
25.378,-64.989,-2.231
26.088,-63.921,-3.261
29.282,-62.853,-0.858
30.169,-64.099,-1.716
32.654,-63.743,-0.686
37.978,-62.674,1.03
36.381,-62.853,0.515
39.043,-61.606,2.403
40.995,-61.428,2.231
41.172,-61.962,3.089
42.769,-60.004,3.604
42.06,-60.36,3.604
44.189,-60.36,3.604
42.769,-60.716,3.947
43.657,-60.182,3.432
46.141,-58.757,3.775
47.384,-58.579,4.977
48.803,-54.662,4.29
48.448,-54.306,5.32
50.223,-52.525,5.663
49.691,-51.991,5.148
50.046,-51.991,4.805
50.223,-50.033,4.29
50.578,-51.457,4.29
49.513,-49.321,5.32
49.513,-48.608,6.006
52.175,-47.718,4.805
53.418,-46.828,3.947
52.353,-46.116,6.006
52.175,-44.869,5.148
53.418,-42.198,4.977
52.885,-42.376,5.492
53.063,-42.911,4.977
53.95,-39.528,4.805
54.305,-39.884,4.805
52.708,-40.062,3.261
53.24,-37.391,4.462
52.708,-36.145,3.604
51.643,-36.145,4.29
52.708,-35.432,3.604
51.465,-33.474,3.432
51.465,-32.762,2.059
51.465,-31.337,2.059
50.578,-31.515,2.574
50.756,-30.269,2.746
50.933,-30.447,1.201
50.756,-30.269,0.343
50.756,-29.201,1.716
51.11,-29.201,1.373
50.578,-28.666,1.888
50.933,-25.818,1.544
49.158,-26.886,1.888
48.803,-25.818,0.515
47.561,-23.503,0.343
47.739,-23.681,-0.858
46.674,-24.037,-1.201
46.496,-22.079,-1.373
45.254,-21.544,-1.201
44.544,-20.476,-2.917
44.367,-20.298,-2.059
42.947,-19.586,-3.775
40.817,-18.161,-5.835
39.398,-20.298,-6.178
40.817,-17.093,-5.835
40.64,-18.696,-6.006
37.8,-18.339,-6.35
38.688,-17.805,-6.864
36.381,-17.627,-8.066
35.848,-17.805,-7.551
35.493,-18.517,-9.953
36.381,-17.983,-9.095
34.961,-19.408,-9.782
33.009,-18.874,-10.297
31.057,-18.339,-11.841
27.862,-20.476,-11.841
26.443,-20.832,-13.214
25.733,-20.12,-12.871
27.685,-20.298,-14.072
26.975,-22.435,-12.013
25.023,-21.544,-14.93
23.958,-23.681,-14.93
24.49,-24.571,-15.102
20.054,-24.393,-16.303
20.409,-26.886,-16.646
20.586,-28.488,-15.445
20.409,-30.091,-16.303
21.296,-27.42,-15.445
21.296,-29.201,-17.161
20.409,-31.159,-16.646
19.344,-30.803,-16.989
18.457,-30.981,-17.504
19.344,-32.228,-16.646
18.457,-34.186,-17.504
18.457,-34.898,-16.475
18.811,-34.898,-17.161
18.634,-36.857,-17.676
17.569,-38.281,-17.333
17.747,-42.376,-15.102
16.859,-41.842,-15.96
17.214,-45.403,-14.244
18.989,-43.623,-14.244
16.682,-44.869,-14.758
17.569,-46.828,-16.303
18.811,-48.43,-14.415
18.811,-48.786,-13.729
19.521,-50.567,-13.386
20.586,-51.635,-13.729
19.876,-52.704,-12.699
18.279,-53.594,-11.841
19.344,-53.95,-11.841
18.989,-53.95,-9.782
20.764,-57.155,-10.811
21.473,-58.579,-9.439
23.958,-57.867,-8.409
24.49,-60.894,-7.208
24.845,-61.25,-7.551
25.91,-59.826,-5.835
25.91,-60.182,-6.521
26.62,-60.538,-5.835
27.507,-62.496,-5.32
28.75,-61.25,-2.746
30.879,-61.606,-2.746
31.057,-63.565,-1.201
33.364,-62.674,-1.716
33.186,-63.565,-0.858
33.541,-62.853,-0.858
34.783,-64.455,1.373
