magX,magY,magZ
114.0,577.0,208.0
113.0,580.0,210.0
112.0,579.0,209.0
116.0,582.0,210.0
115.0,583.0,208.0
114.0,586.0,207.0
117.0,588.0,211.0
119.0,589.0,208.0
119.0,596.0,209.0
118.0,596.0,209.0
119.0,600.0,209.0
119.0,604.0,209.0
119.0,606.0,209.0
118.0,610.0,209.0
122.0,611.0,205.0
119.0,614.0,206.0
123.0,614.0,208.0
120.0,618.0,205.0
120.0,620.0,206.0
124.0,622.0,205.0
125.0,625.0,204.0
126.0,626.0,201.0
128.0,625.0,207.0
130.0,630.0,203.0
130.0,630.0,201.0
134.0,630.0,201.0
134.0,634.0,200.0
134.0,635.0,200.0
136.0,636.0,202.0
139.0,638.0,199.0
141.0,642.0,199.0
143.0,641.0,199.0
141.0,642.0,199.0
143.0,645.0,196.0
145.0,645.0,199.0
147.0,648.0,196.0
152.0,647.0,197.0
155.0,649.0,193.0
156.0,651.0,193.0
159.0,651.0,195.0
160.0,653.0,196.0
162.0,653.0,196.0
162.0,653.0,192.0
167.0,650.0,192.0
167.0,652.0,193.0
168.0,657.0,193.0
169.0,650.0,191.0
171.0,653.0,190.0
171.0,652.0,190.0
173.0,655.0,193.0
169.0,653.0,190.0
173.0,653.0,193.0
174.0,654.0,191.0
178.0,653.0,191.0
177.0,655.0,192.0
179.0,653.0,189.0
179.0,653.0,190.0
183.0,654.0,191.0
182.0,653.0,191.0
184.0,654.0,187.0
186.0,653.0,190.0
186.0,653.0,190.0
191.0,652.0,188.0
192.0,651.0,188.0
198.0,652.0,187.0
197.0,655.0,184.0
199.0,653.0,187.0
200.0,652.0,188.0
203.0,653.0,185.0
206.0,649.0,188.0
208.0,651.0,186.0
212.0,649.0,184.0
214.0,646.0,182.0
216.0,648.0,183.0
219.0,648.0,182.0
221.0,647.0,182.0
221.0,644.0,182.0
225.0,640.0,182.0
223.0,642.0,183.0
228.0,640.0,181.0
228.0,636.0,183.0
230.0,637.0,181.0
230.0,635.0,180.0
232.0,631.0,182.0
233.0,633.0,183.0
233.0,632.0,180.0
236.0,635.0,182.0
235.0,631.0,183.0
236.0,627.0,180.0
237.0,628.0,178.0
240.0,625.0,179.0
241.0,624.0,180.0
239.0,619.0,181.0
240.0,621.0,182.0
243.0,619.0,182.0
241.0,616.0,182.0
245.0,614.0,181.0
244.0,610.0,181.0
246.0,608.0,182.0
246.0,611.0,180.0
247.0,602.0,181.0
246.0,603.0,183.0
247.0,599.0,182.0
245.0,596.0,184.0
244.0,593.0,184.0
245.0,591.0,185.0
244.0,588.0,185.0
245.0,587.0,183.0
245.0,587.0,185.0
246.0,584.0,184.0
245.0,582.0,184.0
243.0,579.0,185.0
244.0,574.0,187.0
242.0,573.0,187.0
239.0,571.0,187.0
239.0,569.0,190.0
237.0,565.0,187.0
236.0,564.0,192.0
237.0,563.0,189.0
235.0,560.0,190.0
234.0,558.0,191.0
236.0,556.0,190.0
232.0,556.0,193.0
232.0,553.0,191.0
231.0,552.0,193.0
231.0,549.0,194.0
227.0,548.0,192.0
226.0,550.0,192.0
224.0,545.0,193.0
224.0,544.0,194.0
227.0,543.0,192.0
224.0,542.0,196.0
232.0,539.0,189.0
226.0,539.0,192.0
225.0,537.0,190.0
230.0,538.0,191.0
231.0,535.0,189.0
231.0,537.0,191.0
225.0,533.0,191.0
222.0,531.0,195.0
227.0,532.0,192.0
225.0,531.0,191.0
227.0,528.0,190.0
227.0,528.0,192.0
222.0,525.0,191.0
221.0,525.0,193.0
218.0,523.0,190.0
216.0,522.0,191.0
217.0,522.0,194.0
211.0,519.0,195.0
209.0,518.0,194.0
207.0,514.0,192.0
205.0,511.0,195.0
201.0,508.0,196.0
196.0,506.0,197.0
195.0,509.0,199.0
192.0,509.0,198.0
189.0,504.0,198.0
186.0,507.0,199.0
183.0,503.0,198.0
180.0,503.0,201.0
179.0,502.0,198.0
175.0,501.0,198.0
173.0,503.0,200.0
170.0,502.0,200.0
168.0,500.0,202.0
164.0,499.0,200.0
160.0,501.0,200.0
153.0,502.0,202.0
153.0,503.0,201.0
153.0,504.0,200.0
148.0,504.0,199.0
146.0,507.0,200.0
140.0,505.0,200.0
139.0,506.0,200.0
135.0,508.0,201.0
138.0,506.0,202.0
134.0,508.0,202.0
133.0,511.0,200.0
126.0,511.0,202.0
127.0,515.0,202.0
124.0,514.0,201.0
123.0,514.0,204.0
120.0,514.0,200.0
118.0,518.0,203.0
126.0,517.0,202.0
119.0,518.0,201.0
120.0,516.0,204.0
118.0,518.0,201.0
124.0,517.0,201.0
121.0,516.0,202.0
127.0,518.0,206.0
124.0,519.0,206.0
121.0,522.0,205.0
123.0,519.0,204.0
119.0,522.0,204.0
124.0,523.0,203.0
116.0,524.0,203.0
116.0,523.0,203.0
113.0,525.0,204.0
113.0,526.0,201.0
114.0,527.0,205.0
114.0,530.0,204.0
114.0,533.0,207.0
115.0,537.0,207.0
115.0,537.0,205.0
116.0,541.0,207.0
119.0,544.0,205.0
116.0,549.0,206.0
119.0,553.0,208.0
117.0,549.0,205.0
122.0,551.0,205.0
120.0,552.0,206.0
121.0,554.0,212.0
121.0,553.0,206.0
123.0,554.0,208.0
120.0,558.0,210.0
122.0,558.0,208.0
121.0,563.0,209.0
123.0,566.0,209.0
125.0,567.0,209.0
125.0,569.0,209.0
125.0,572.0,211.0
127.0,576.0,210.0
130.0,579.0,211.0
134.0,579.0,210.0
136.0,578.0,209.0
127.0,579.0,210.0
131.0,579.0,211.0
134.0,580.0,210.0
128.0,583.0,210.0
130.0,587.0,210.0
134.0,589.0,210.0
133.0,592.0,209.0
132.0,593.0,210.0
131.0,597.0,208.0
132.0,599.0,210.0
133.0,601.0,209.0
136.0,604.0,206.0
134.0,605.0,208.0
137.0,608.0,207.0
138.0,613.0,206.0
137.0,614.0,206.0
141.0,618.0,203.0
140.0,621.0,205.0
144.0,625.0,203.0
145.0,625.0,202.0
147.0,628.0,205.0
146.0,630.0,203.0
150.0,634.0,202.0
154.0,636.0,202.0
155.0,633.0,201.0
158.0,633.0,201.0
161.0,638.0,200.0
161.0,639.0,199.0
164.0,639.0,199.0
167.0,642.0,196.0
167.0,645.0,197.0
172.0,644.0,194.0
173.0,649.0,196.0
174.0,646.0,194.0
176.0,648.0,193.0
178.0,650.0,192.0
180.0,651.0,191.0
185.0,649.0,194.0
185.0,651.0,191.0
186.0,652.0,190.0
185.0,652.0,189.0
189.0,652.0,189.0
193.0,655.0,188.0
192.0,655.0,186.0
194.0,654.0,186.0
195.0,653.0,187.0
199.0,655.0,185.0
198.0,657.0,186.0
203.0,655.0,186.0
206.0,655.0,185.0
207.0,653.0,186.0
207.0,654.0,183.0
209.0,654.0,184.0
210.0,653.0,181.0
210.0,653.0,183.0
214.0,651.0,182.0
215.0,650.0,180.0
220.0,650.0,179.0
218.0,650.0,181.0
219.0,649.0,183.0
220.0,649.0,179.0
219.0,649.0,179.0
217.0,650.0,183.0
215.0,648.0,182.0
219.0,648.0,181.0
219.0,648.0,181.0
221.0,647.0,182.0
224.0,644.0,180.0
223.0,640.0,181.0
227.0,639.0,183.0
229.0,637.0,181.0
228.0,636.0,182.0
231.0,635.0,180.0
236.0,630.0,180.0
236.0,627.0,180.0
235.0,626.0,181.0
236.0,625.0,182.0
236.0,625.0,179.0
235.0,621.0,182.0
236.0,619.0,183.0
235.0,616.0,184.0
235.0,612.0,187.0
239.0,609.0,184.0
239.0,605.0,183.0
238.0,604.0,184.0
238.0,603.0,184.0
235.0,603.0,187.0
238.0,600.0,187.0
239.0,599.0,186.0
236.0,597.0,190.0
237.0,593.0,188.0
235.0,589.0,188.0
237.0,591.0,189.0
234.0,588.0,191.0
234.0,584.0,190.0
234.0,579.0,190.0
232.0,577.0,190.0
231.0,573.0,193.0
229.0,573.0,191.0
234.0,572.0,191.0
232.0,569.0,191.0
232.0,563.0,192.0
230.0,561.0,192.0
228.0,561.0,193.0
226.0,559.0,193.0
225.0,555.0,192.0
226.0,557.0,195.0
225.0,551.0,195.0
224.0,551.0,196.0
222.0,545.0,197.0
223.0,546.0,197.0
221.0,543.0,196.0
215.0,541.0,197.0
216.0,540.0,197.0
213.0,535.0,195.0
214.0,539.0,197.0
211.0,532.0,199.0
209.0,532.0,196.0
207.0,528.0,199.0
205.0,527.0,198.0
204.0,524.0,196.0
205.0,528.0,197.0
204.0,522.0,197.0
202.0,518.0,199.0
202.0,516.0,196.0
200.0,518.0,199.0
198.0,516.0,198.0
197.0,515.0,196.0
198.0,515.0,196.0
194.0,508.0,198.0
192.0,512.0,197.0
190.0,509.0,197.0
192.0,508.0,199.0
190.0,508.0,201.0
191.0,511.0,199.0
187.0,507.0,199.0
183.0,505.0,198.0
185.0,505.0,198.0
183.0,505.0,197.0
184.0,504.0,199.0
181.0,501.0,200.0
182.0,504.0,199.0
181.0,504.0,198.0
182.0,503.0,198.0
175.0,502.0,198.0
170.0,505.0,201.0
167.0,503.0,198.0
163.0,505.0,199.0
162.0,502.0,200.0
160.0,502.0,198.0
156.0,500.0,199.0
154.0,501.0,198.0
149.0,502.0,198.0
147.0,501.0,199.0
145.0,503.0,200.0
142.0,505.0,199.0
139.0,506.0,201.0
136.0,503.0,200.0
132.0,507.0,200.0
128.0,506.0,201.0
128.0,506.0,200.0
123.0,508.0,196.0
122.0,510.0,199.0
116.0,511.0,201.0
117.0,513.0,195.0
117.0,515.0,200.0
116.0,515.0,201.0
113.0,516.0,201.0
113.0,519.0,202.0
111.0,519.0,201.0
109.0,523.0,203.0
108.0,519.0,201.0
111.0,526.0,202.0
106.0,524.0,200.0
106.0,529.0,201.0
105.0,530.0,201.0
106.0,529.0,202.0
108.0,529.0,203.0
107.0,533.0,203.0
106.0,533.0,202.0
102.0,537.0,201.0
100.0,538.0,205.0
96.0,539.0,202.0
98.0,541.0,201.0
98.0,542.0,202.0
94.0,543.0,201.0
94.0,546.0,202.0
99.0,547.0,203.0
91.0,551.0,201.0
88.0,552.0,200.0
90.0,557.0,201.0
86.0,557.0,201.0
88.0,561.0,202.0
88.0,563.0,201.0
91.0,565.0,203.0
84.0,568.0,201.0
89.0,568.0,202.0
86.0,573.0,201.0
89.0,578.0,199.0
87.0,581.0,200.0
87.0,584.0,199.0
86.0,588.0,201.0
86.0,589.0,200.0
89.0,591.0,200.0
91.0,594.0,203.0
94.0,598.0,204.0
95.0,598.0,202.0
95.0,604.0,200.0
97.0,604.0,202.0
96.0,608.0,201.0
101.0,609.0,202.0
100.0,610.0,199.0
98.0,608.0,203.0
104.0,610.0,204.0
107.0,611.0,201.0
108.0,612.0,204.0
113.0,615.0,205.0
119.0,617.0,205.0
115.0,617.0,203.0
120.0,624.0,202.0
119.0,622.0,204.0
122.0,625.0,200.0
123.0,628.0,203.0
128.0,627.0,202.0
130.0,635.0,201.0
130.0,635.0,201.0
133.0,634.0,197.0
138.0,640.0,199.0
140.0,643.0,198.0
144.0,644.0,196.0
147.0,641.0,196.0
147.0,648.0,198.0
152.0,648.0,193.0
153.0,649.0,194.0
161.0,648.0,194.0
162.0,651.0,194.0
164.0,651.0,192.0
169.0,654.0,192.0
173.0,653.0,191.0
176.0,655.0,190.0
180.0,656.0,190.0
184.0,654.0,190.0
187.0,652.0,189.0
189.0,651.0,188.0
191.0,652.0,189.0
193.0,657.0,189.0
195.0,653.0,188.0
199.0,652.0,188.0
200.0,652.0,185.0
203.0,650.0,186.0
203.0,654.0,186.0
203.0,654.0,187.0
202.0,654.0,184.0
208.0,652.0,185.0
208.0,649.0,184.0
209.0,650.0,182.0
212.0,649.0,183.0
216.0,644.0,184.0
213.0,645.0,186.0
217.0,639.0,185.0
218.0,635.0,184.0
223.0,635.0,185.0
224.0,634.0,185.0
225.0,633.0,183.0
227.0,630.0,183.0
230.0,626.0,186.0
230.0,623.0,183.0
236.0,625.0,183.0
239.0,620.0,181.0
241.0,614.0,182.0
244.0,613.0,182.0
247.0,605.0,178.0
248.0,600.0,179.0
247.0,597.0,180.0
250.0,597.0,179.0
248.0,593.0,180.0
255.0,588.0,181.0
254.0,583.0,181.0
256.0,583.0,181.0
250.0,578.0,181.0
253.0,571.0,183.0
254.0,570.0,181.0
253.0,572.0,182.0
252.0,567.0,182.0
251.0,561.0,182.0
249.0,559.0,183.0
249.0,557.0,183.0
248.0,551.0,185.0
248.0,548.0,185.0
246.0,545.0,182.0
248.0,540.0,183.0
246.0,540.0,183.0
247.0,538.0,185.0
245.0,537.0,184.0
244.0,530.0,184.0
242.0,529.0,184.0
240.0,527.0,185.0
241.0,530.0,185.0
238.0,523.0,184.0
237.0,522.0,184.0
236.0,520.0,188.0
232.0,521.0,189.0
230.0,519.0,191.0
224.0,518.0,190.0
221.0,514.0,190.0
220.0,512.0,190.0
215.0,514.0,192.0
211.0,513.0,192.0
211.0,511.0,192.0
206.0,512.0,195.0
200.0,507.0,197.0
199.0,508.0,194.0
194.0,505.0,196.0
193.0,501.0,193.0
190.0,503.0,198.0
188.0,502.0,198.0
187.0,502.0,195.0
181.0,503.0,197.0
176.0,501.0,198.0
171.0,502.0,198.0
170.0,502.0,199.0
166.0,504.0,203.0
165.0,507.0,201.0
162.0,506.0,199.0
