magX,magY,magZ
-7.454,30.981,-39.47
-5.679,30.981,-39.813
-2.307,29.735,-39.985
-1.242,25.818,-39.985
0.532,27.242,-39.642
4.082,26.53,-39.299
4.614,26.352,-39.47
5.147,25.818,-38.269
4.082,26.174,-38.269
3.017,27.954,-38.612
3.372,26.886,-39.299
5.679,24.927,-38.441
7.276,25.818,-38.269
11.358,24.927,-37.411
11.003,24.215,-38.097
11.18,26.174,-38.612
9.406,26.886,-39.299
9.761,28.31,-39.299
9.228,27.776,-38.441
13.31,26.886,-37.239
15.795,28.31,-38.612
16.327,27.776,-38.784
20.586,27.776,-35.352
22.716,27.42,-35.695
26.265,29.557,-35.352
27.152,29.735,-36.21
27.862,31.515,-36.553
26.797,31.159,-36.553
25.91,35.967,-38.097
25.555,37.747,-40.5
26.088,37.925,-39.642
27.33,37.391,-38.441
28.04,37.747,-39.127
28.395,38.815,-40.5
29.459,41.308,-38.784
30.169,43.089,-39.47
30.879,43.089,-40.5
28.75,46.294,-38.784
29.459,47.718,-42.216
28.927,48.608,-41.701
28.217,52.169,-43.761
27.685,51.635,-42.902
30.169,54.128,-43.589
29.282,56.087,-44.79
26.975,57.333,-46.335
25.555,59.826,-46.335
24.313,60.716,-48.566
19.166,64.811,-47.021
17.747,66.236,-47.708
15.795,67.482,-48.222
15.085,69.619,-46.163
13.31,70.331,-47.193
11.003,71.577,-47.021
10.116,72.467,-47.879
8.341,71.755,-46.849
6.034,72.645,-47.021
5.147,73.892,-47.193
5.324,74.426,-47.021
3.372,76.385,-48.566
8.163,71.933,-51.483
6.921,71.043,-52.684
5.147,70.331,-53.027
3.727,71.399,-54.744
3.017,71.399,-54.4
-0.887,72.467,-52.341
-2.485,73.002,-51.826
-7.809,72.289,-51.826
-2.839,68.016,-55.258
-4.437,66.414,-54.4
-4.614,65.523,-55.945
-5.501,62.14,-56.116
-5.324,61.962,-56.288
0.532,56.799,-56.803
-0.71,52.704,-56.631
-0.177,51.457,-55.43
-4.259,50.567,-54.572
-6.921,53.238,-54.4
-7.454,53.06,-53.199
-10.648,53.06,-51.826
-10.648,51.635,-52.856
-11.18,50.745,-51.655
-9.583,47.718,-52.169
-8.696,46.116,-49.938
-8.696,43.623,-48.566
-7.454,43.801,-49.08
-9.406,40.774,-48.566
-8.341,41.13,-47.879
-7.276,37.213,-47.193
-5.147,36.857,-45.477
-4.614,32.762,-43.932
-4.614,32.406,-42.559
-6.566,34.364,-42.731
-7.099,32.762,-41.873
-7.276,31.515,-42.044
2.839,28.845,-39.127
5.679,24.215,-37.754
10.293,22.079,-37.411
12.423,22.435,-36.038
11.713,22.435,-35.352
12.245,25.462,-35.523
12.423,25.64,-38.097
14.552,25.283,-37.068
13.665,26.53,-36.21
15.262,28.845,-37.068
11.535,29.379,-38.612
10.471,30.803,-37.926
14.02,31.159,-38.955
14.907,32.406,-37.754
14.02,34.364,-39.299
15.795,36.857,-39.985
18.102,36.679,-38.784
20.054,37.925,-40.328
22.893,40.418,-38.612
23.248,40.062,-40.328
25.023,41.486,-40.328
26.265,43.445,-39.127
26.797,45.403,-39.642
28.217,48.252,-39.299
19.876,49.855,-43.246
18.811,52.704,-42.216
21.473,54.662,-43.761
23.426,56.621,-43.589
22.006,56.265,-44.619
17.569,60.004,-45.133
21.296,62.318,-43.246
20.231,63.387,-43.932
18.102,67.304,-42.559
14.73,73.892,-41.358
9.228,76.919,-40.5
8.341,76.741,-40.328
9.228,79.055,-41.53
6.389,77.631,-39.813
6.566,79.233,-40.672
10.825,78.877,-44.104
11.358,81.548,-40.843
20.231,87.958,-44.275
18.634,89.56,-42.731
18.811,90.451,-40.843
12.068,91.519,-41.186
11.358,92.587,-42.216
9.938,92.231,-39.813
5.679,90.451,-40.843
3.549,90.095,-40.843
-0.532,89.917,-40.328
-3.017,88.492,-40.328
-3.904,85.109,-40.5
-6.921,85.643,-37.926
-8.163,84.397,-38.441
-4.082,81.726,-42.731
-6.211,81.014,-42.388
-10.825,82.438,-37.583
-12.6,81.014,-37.583
-9.938,77.987,-40.843
-14.197,74.782,-40.157
-17.569,73.892,-41.701
-19.521,74.07,-40.157
-19.166,75.494,-39.127
-17.214,76.741,-41.358
-16.149,76.741,-41.358
-15.972,76.206,-41.53
-16.149,77.453,-38.955
-30.347,68.906,-32.091
-34.074,69.084,-31.233
-22.361,74.426,-45.648
-23.426,74.782,-45.305
-23.426,74.782,-43.932
-22.361,75.138,-43.246
-22.183,76.741,-44.447
-24.135,75.494,-42.559
-23.603,75.316,-41.358
-24.313,74.248,-39.642
-23.426,73.358,-41.873
-25.378,74.96,-42.044
-24.49,74.782,-40.157
-26.975,75.85,-38.441
-26.797,74.248,-37.239
-26.797,74.604,-36.21
-27.152,74.96,-36.896
